Species,POINT_X,POINT_Y
bias,-72.30527,41.3928
bias,-72.27241,41.47973
bias,-72.27806,41.47977
bias,-72.27948,41.4756
bias,-72.27906,41.47487
bias,-72.27796,41.47454
bias,-72.27228,41.48086
bias,-72.32715,41.46043
bias,-72.31098,41.46511
bias,-72.312,41.46474
bias,-72.31221,41.46392
bias,-72.31578,41.46106
bias,-72.31375,41.46088
bias,-72.31099,41.46252
bias,-72.3184,41.46244
bias,-72.32105,41.45922
bias,-72.3218,41.45901
bias,-72.32012,41.45815
bias,-72.31901,41.45671
bias,-72.31929,41.46338
bias,-72.3185,41.45733
bias,-72.31752,41.45774
bias,-72.28131,41.464
bias,-72.34355,41.38597
bias,-72.34141,41.38773
bias,-72.3397,41.3909
bias,-72.34661,41.39197
bias,-72.34653,41.39283
bias,-72.34365,41.38567
bias,-72.34465,41.37192
bias,-72.33128,41.37338
bias,-72.28414,41.45877
bias,-72.28389,41.4607
bias,-72.2856,41.46087
bias,-72.29063,41.46148
bias,-72.28941,41.46197
bias,-72.31961,41.47524
bias,-72.31995,41.47448
bias,-72.31939,41.47371
bias,-72.31756,41.47396
bias,-72.31739,41.47547
bias,-73.18599,44.47803
bias,-73.18793,44.47555
bias,-73.18675,44.47748
bias,-73.18534,44.47941
bias,-73.1851,44.47987
bias,-73.18805,44.47521
bias,-73.1869,44.47655
bias,-73.18639,44.47645
bias,-73.1851,44.47769
bias,-73.18512,44.47886
bias,-73.18584,44.47996
bias,-73.23835,44.39943
bias,-73.23979,44.39843
bias,-73.23768,44.40191
bias,-73.23878,44.40349
bias,-73.2384,44.40401
bias,-73.23994,44.408
bias,-73.24039,44.40814
bias,-73.23989,44.40845
bias,-73.23955,44.40877
bias,-73.23694,44.40096
bias,-73.2251,44.44541
bias,-73.22237,44.44622
bias,-73.22593,44.44626
bias,-73.22603,44.44676
bias,-73.22093,44.4516
bias,-73.22912,44.44514
bias,-73.22613,44.44376
bias,-73.22751,44.44371
bias,-73.22656,44.44391
bias,-73.23046,44.44633
bias,-73.22524,44.44703
bias,-73.22984,44.44664
bias,-73.22816,44.45454
bias,-73.22849,44.45439
bias,-73.22664,44.45368
bias,-73.22662,44.45436
bias,-73.22732,44.45442
bias,-73.23735,44.51458
bias,-73.21583,44.60801
bias,-73.22108,44.60768
bias,-73.22163,44.60808
bias,-73.23396,44.61526
bias,-73.21501,44.61981
bias,-73.21391,44.62081
bias,-73.21341,44.62301
bias,-73.21233,44.61613
bias,-73.21441,44.60958
bias,-73.21465,44.6102
bias,-72.861971,42.288989
bias,-72.866811,42.317438
bias,-72.85076,42.342208
bias,-72.84792,42.342208
bias,-72.85202,42.332868
bias,-72.853091,42.319228
bias,-72.851691,42.315788
bias,-72.867131,42.293279
bias,-72.860531,42.303799
bias,-72.645735,42.224401
bias,-72.643835,42.213572
bias,-69.60531,44
bias,-69.50833,44.0509
bias,-69.5155,44.05216
bias,-69.59976,44.00116
bias,-69.51133,44.0514
bias,-69.6006,44.00005
bias,-69.60045,44.00156
bias,-69.5075,44.05316
bias,-72.4469,42.81026
bias,-72.467255,42.975359
bias,-72.46863,42.97175
bias,-72.47079,42.97214
bias,-73.2327,44.50605
bias,-72.648235,42.214331
bias,-72.651245,42.202572
bias,-72.655555,42.202842
bias,-72.652815,42.200042
bias,-72.650185,42.202912
bias,-72.649485,42.203602
bias,-72.695546,42.180102
bias,-72.697816,42.179372
bias,-72.688796,42.180452
bias,-72.693,42.1791
bias,-72.6922,42.179
bias,-72.689906,42.179622
bias,-72.688696,42.179062
bias,-72.696016,42.178092
bias,-72.695966,42.179232
bias,-72.692036,42.179612
bias,-72.80016,42.158782
