"Longitude","Latitude","X","Y","species"
-96.1797,17.5561,-10706675.2286498,1911794.9702166,"Tapirus bairdii"
-96.0278,17.2567,-10689765.7979983,1880167.20683514,"Tapirus bairdii"
-89.9273,20.2461,-10010661.2444139,2193571.59247921,"Tapirus bairdii"
-89.4333,18.7336,-9955669.41596207,2035680.23524731,"Tapirus bairdii"
-90.1317,18.8072,-10033414.9483321,2043396.36574135,"Tapirus bairdii"
-90.1461,17.9458,-10035017.9489995,1952885.28847563,"Tapirus bairdii"
-89.8142,18.115,-9998071.01000523,1970698.52929076,"Tapirus bairdii"
-89.7963,17.8178,-9996078.39112003,1939398.49239756,"Tapirus bairdii"
-89.8013,18.1145,-9996634.988574,1970645.91434158,"Tapirus bairdii"
-90.015,19.0316,-10020423.9637565,2066901.79258698,"Tapirus bairdii"
-89.8156,18.1225,-9998226.85729234,1971487.73593771,"Tapirus bairdii"
-90.95,16.1167,-10124507.6876482,1759289.35675352,"Tapirus bairdii"
-90.95,16.1,-10124507.6876482,1757513.43590197,"Tapirus bairdii"
-90.8994,16.2864,-10118874.9214141,1777327.39247738,"Tapirus bairdii"
-91.3038,16.9019,-10163892.5234909,1842622.31796782,"Tapirus bairdii"
-90.8969,16.1558,-10118596.6226871,1763446.78026799,"Tapirus bairdii"
-90.8244,16.25,-10110525.9596046,1773459.57956756,"Tapirus bairdii"
-93.6333,16.9889,-10423211.2772938,1851835.08388109,"Tapirus bairdii"
-90.9667,16.8833,-10126366.7231445,1840652.1533207,"Tapirus bairdii"
-92.8043,15.6548,-10330927.4194262,1710116.47100723,"Tapirus bairdii"
-92.8059,15.6539,-10331105.5306115,1710020.55205101,"Tapirus bairdii"
-92.8143,15.6489,-10332040.6143341,1709487.66146424,"Tapirus bairdii"
-93.9007,16.3008,-10452978.1091319,1778857.32307934,"Tapirus bairdii"
-87.6761,19.7986,-9760058.80674013,2147007.3988002,"Tapirus bairdii"
-87.9597,19.2822,-9791629.01432911,2093114.98747678,"Tapirus bairdii"
-87.5806,19.8178,-9749427.79536938,2149007.88482491,"Tapirus bairdii"
-87.8889,19.1597,-9783747.59438094,2080306.13228557,"Tapirus bairdii"
-87.7833,19.6167,-9771992.25615317,2128043.21841985,"Tapirus bairdii"
-87.7836,19.7439,-9772025.65200041,2141306.80638051,"Tapirus bairdii"
-87.78,19.07,-9771624.90183355,2070921.0176923,"Tapirus bairdii"
-89.7526,18.2053,-9991213.72937237,1980198.3816998,"Tapirus bairdii"
-89.7196,18.074,-9987540.18617619,1966383.61705709,"Tapirus bairdii"
-89.7463,18.1856,-9990512.41658037,1978126.28679128,"Tapirus bairdii"
-90.1076,17.8433,-10030732.148604,1942086.07111265,"Tapirus bairdii"
-89.816,18.1251,-9998271.38508866,1971761.31987498,"Tapirus bairdii"
-90.0967,18.0134,-10029518.7661543,1960004.16603993,"Tapirus bairdii"
-89.8571,18.3079,-10002846.6161603,1990986.40275723,"Tapirus bairdii"
-90.1039,17.8969,-10030320.266488,1947734.03086496,"Tapirus bairdii"
-89.8856,18.3667,-10006019.2216479,1997166.2026403,"Tapirus bairdii"
-89.7781,18.3083,-9994052.37638759,1991028.44913828,"Tapirus bairdii"
-90.0714,17.8913,-10026702.3830373,1947144.02330615,"Tapirus bairdii"
-90.0021,17.9031,-10018987.9423253,1948387.23232446,"Tapirus bairdii"
-90.0908,17.8554,-10028861.9811587,1943361.22217541,"Tapirus bairdii"
-97.8346,16.0317,-10890897.8539636,1750248.72358328,"Tapirus bairdii"
-94.1942,17.14,-10485650.3796798,1867825.72792386,"Tapirus bairdii"
-94.2594,17.125,-10492908.4104795,1866238.86984291,"Tapirus bairdii"
-94.1336,17.1936,-10478904.4185377,1873495.07880782,"Tapirus bairdii"
-94.3556,17.1611,-10503617.3454938,1870057.69670834,"Tapirus bairdii"
-94.1269,17.0981,-10478158.5779494,1863392.79164462,"Tapirus bairdii"
-94.7883,17.1664,-10551785.2891601,1870618.29452062,"Tapirus bairdii"
-96.4728,17.3275,-10739302.9714013,1887650.87389971,"Tapirus bairdii"
-96.0325,17.6328,-10690288.999605,1919889.17184628,"Tapirus bairdii"
-94.6836,16.9059,-10540130.138474,1843045.98452983,"Tapirus bairdii"
-85.71478,10.81451,-9541725.66305747,1188905.73329009,"Tapirus bairdii"
-85.705,10.83778,-9540636.95843751,1191434.19456045,"Tapirus bairdii"
-85.70246,10.80937,-9540354.2069309,1188347.2076832,"Tapirus bairdii"
-85.69717,10.8065,-9539765.3268246,1188035.34205404,"Tapirus bairdii"
-85.6948,10.80131,-9539501.49963142,1187471.36861048,"Tapirus bairdii"
-85.69365,10.80479,-9539373.48221701,1187849.52526332,"Tapirus bairdii"
-85.68605,10.80656,-9538527.45408698,1188041.86192271,"Tapirus bairdii"
-85.67253,10.79506,-9537022.41457145,1186792.19723834,"Tapirus bairdii"
-85.6678,10.78641,-9536495.87338,1185852.20135886,"Tapirus bairdii"
-85.66102,10.80397,-9535741.12723242,1187760.41976985,"Tapirus bairdii"
